URLs,Title,Year,Genres,IMDB Rating,Duration,Age Rating,Countries,Streaming
https://www.justwatch.com/in/movie/stree-2,Stree 2: Sarkate Ka Aatank,2024,"Horror, Comedy",7.1,2h 27min,UA,India,"Amazon Prime Video, Amazon Video, Bookmyshow"
https://www.justwatch.com/in/movie/deadpool-3,Deadpool & Wolverine,2024,"Action & Adventure, Comedy, Science-Fiction",7.8,2h 8min,A,United States,Apple TV
https://www.justwatch.com/in/movie/the-substance,The Substance,2024,"Horror, Drama, Science-Fiction",7.6,2h 21min,,"United Kingdom, France",
https://www.justwatch.com/in/movie/saripodhaa-sanivaaram,Saripodhaa Sanivaaram,2024,"Mystery & Thriller, Action & Adventure, Drama",7.0,2h 52min,UA,India,Netflix
https://www.justwatch.com/in/movie/kill-2024,Kill,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.6,1h 45min,A,India,"Hotstar, Bookmyshow"
https://www.justwatch.com/in/movie/siddharth-roy,Siddharth Roy,2024,"Drama, Romance",7.1,2h 28min,A,India,aha
https://www.justwatch.com/in/movie/thangalaan,Thangalaan,2024,"Fantasy, History, Action & Adventure, Drama",7.1,2h 36min,UA,India,
https://www.justwatch.com/in/movie/alien-romulus,Alien: Romulus,2024,"Horror, Science-Fiction, Mystery & Thriller",7.2,1h 59min,A,United States,Apple TV
https://www.justwatch.com/in/movie/the-wild-robot,The Wild Robot,2024,"Animation, Science-Fiction, Kids & Family",8.4,1h 42min,,United States,Bookmyshow
https://www.justwatch.com/in/movie/untitled-soorarai-pottru-remake,Sarfira,2024,Drama,7.3,2h 35min,U,India,Hotstar
https://www.justwatch.com/in/movie/vaazhai,Vaazhai,2024,Drama,7.9,2h 14min,U,India,Hotstar
https://www.justwatch.com/in/movie/inside-out-2,Inside Out 2,2024,"Comedy, Drama, Animation, Kids & Family, Action & Adventure, Fantasy",7.6,1h 37min,U,United States,"Hotstar, Apple TV, Amazon Video, Apple TV"
https://www.justwatch.com/in/movie/sector-36,Sector 36,2024,"Mystery & Thriller, Drama, Crime",7.2,2h 4min,A,India,Netflix
https://www.justwatch.com/in/movie/challengers,Challengers,2024,"Romance, Drama, Sport, Comedy",7.1,2h 12min,A,"Italy, United States","Amazon Prime Video, Apple TV, Amazon Video, Apple TV"
https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video,Vicky Vidya Ka Woh Wala Video,2024,Comedy,7.1,2h 32min,UA,India,Bookmyshow
https://www.justwatch.com/in/movie/vaazha,Vaazha: Biopic of a Billion Boys,2024,Drama,7.3,2h 5min,UA,India,Hotstar
https://www.justwatch.com/in/movie/jigra-2024,Jigra,2024,"Drama, Mystery & Thriller, Crime, Action & Adventure",7.3,2h 35min,,India,Bookmyshow
https://www.justwatch.com/in/movie/aavesham-2024,Aavesham,2024,"Comedy, Action & Adventure",7.8,2h 38min,,India,"Amazon Prime Video, Hotstar, Amazon Video, Bookmyshow"
